Archivo,PID,Hora de inicio,Hora de finalización,Duración (s),Memoria Virtual (bytes),Memoria RSS (bytes):,Modo,Hora de inicio del programa,Hora de inicio de la carga del primer archivo,Hora de finalización de la carga del último archivo,Hora de finalización del programa,Tiempo total del proceso (s)
CAvideos.csv,25324,06:59:01.522708,06:59:07.826375,6.303667,972787712,486211584,unique_process,06:59:01.518446,06:59:01.522708,06:59:07.689512,06:59:09.895243,8.376797
DEvideos.csv,25324,06:59:01.524949,06:59:07.470108,5.945159,1037127680,504836096,unique_process,06:59:01.518446,06:59:01.522708,06:59:07.689512,06:59:09.895243,8.376797
FRvideos.csv,25324,06:59:01.524949,06:59:07.126403,5.601454,997695488,467693568,unique_process,06:59:01.518446,06:59:01.522708,06:59:07.689512,06:59:09.895243,8.376797
GBvideos.csv,25324,06:59:01.526247,06:59:05.277346,3.751099,1024192512,398311424,unique_process,06:59:01.518446,06:59:01.522708,06:59:07.689512,06:59:09.895243,8.376797
INvideos.csv,25324,06:59:01.527251,06:59:06.478967,4.951716,984805376,432922624,unique_process,06:59:01.518446,06:59:01.522708,06:59:07.689512,06:59:09.895243,8.376797
JPvideos.csv,25324,06:59:01.527251,06:59:05.838169,4.310918,1018347520,418648064,unique_process,06:59:01.518446,06:59:01.522708,06:59:07.689512,06:59:09.895243,8.376797
KRvideos.csv,25324,06:59:01.528517,06:59:06.298446,4.769929,1047568384,457846784,unique_process,06:59:01.518446,06:59:01.522708,06:59:07.689512,06:59:09.895243,8.376797
MXvideos.csv,25324,06:59:01.528517,06:59:07.426986,5.898469,1051439104,506265600,unique_process,06:59:01.518446,06:59:01.522708,06:59:07.689512,06:59:09.895243,8.376797
RUvideos.csv,25324,06:59:01.529870,06:59:08.085473,6.555603,984707072,498679808,unique_process,06:59:01.518446,06:59:01.522708,06:59:07.689512,06:59:09.895243,8.376797
USvideos.csv,25324,06:59:01.530883,06:59:07.689512,6.158629,1018130432,499781632,unique_process,06:59:01.518446,06:59:01.522708,06:59:07.689512,06:59:09.895243,8.376797
